Iteration,TrainingError
1,0.0470352
2,0.0450046
3,0.0425342
4,0.0413585
5,0.0409084
6,0.0406244
7,0.0403785
8,0.0401705
9,0.0400101
10,0.0399151
11,0.0398075
12,0.0397086
13,0.0396334
14,0.0396088
15,0.0395284
16,0.0394548
17,0.0394042
18,0.0392434
19,0.0389972
20,0.0388161
21,0.0389175
22,0.039166
23,0.0390851
24,0.0389497
25,0.0390529
26,0.0393188
27,0.0386468
28,0.038984
29,0.0438326
30,0.0457206
31,0.039717
32,0.0392539
33,0.0392513
34,0.0392492
35,0.0392812
36,0.0393169
37,0.0394211
38,0.0395439
39,0.0395103
40,0.0396022
41,0.0394326
42,0.0393339
43,0.0396363
44,0.0395379
45,0.0395578
46,0.0396076
47,0.0395991
48,0.0397078
49,0.0397169
50,0.0394559
51,0.0392319
52,0.0389064
53,0.0394954
54,0.039219
55,0.0397441
56,0.0396729
57,0.0395927
58,0.0396676
59,0.0395004
60,0.0393806
61,0.0399041
62,0.0398321
63,0.0399725
64,0.0394212
65,0.0387658
66,0.0381236
67,0.0379487
68,0.0378751
69,0.0385256
70,0.0380378
71,0.037936
72,0.0379481
73,0.0378987
74,0.0381436
75,0.0379564
76,0.0381056
77,0.0379067
78,0.0379975
79,0.0384028
80,0.0379211
81,0.0379513
82,0.0379536
83,0.0379104
84,0.0377881
85,0.0380109
86,0.0378313
87,0.0380058
88,0.0378402
89,0.0380311
90,0.03788
91,0.0380308
92,0.0380783
93,0.0379606
94,0.0380767
95,0.0380105
96,0.0376634
97,0.0377774
98,0.0379936
99,0.0378129
100,0.0400586
101,0.0393438
102,0.0384648
103,0.0376818
104,0.0380556
105,0.0378874
106,0.0377846
107,0.0377185
108,0.0378881
109,0.0378818
110,0.0388867
111,0.0378114
112,0.0385011
113,0.0378932
114,0.0379481
115,0.0380029
116,0.0378667
117,0.0387539
118,0.0376861
119,0.0379015
120,0.0391979
121,0.0379691
122,0.0379116
123,0.0377324
124,0.037851
125,0.0393892
126,0.0378156
127,0.0381477
128,0.0395187
129,0.0393506
130,0.0377491
131,0.0379519
132,0.0378076
133,0.0377407
134,0.0375798
135,0.0377645
136,0.0377282
137,0.0377368
138,0.0376283
139,0.038289
140,0.0398473
141,0.0376096
142,0.0377799
143,0.0374082
144,0.0398492
145,0.0374751
146,0.0397682
147,0.0378683
148,0.0374865
149,0.0391197
150,0.0388903
151,0.0378087
152,0.0389068
153,0.0377597
154,0.0378393
155,0.0391119
156,0.0382043
157,0.0397002
158,0.0379118
159,0.0408372
160,0.0377432
161,0.0380105
162,0.037837
163,0.0376169
164,0.0377439
165,0.03737
166,0.0377965
167,0.0377516
168,0.0380151
169,0.0388296
170,0.0378077
171,0.0381881
172,0.0378196
173,0.0387445
174,0.040978
175,0.0377582
176,0.0398922
177,0.0434603
178,0.0375805
179,0.0376569
