Iteration,TrainingError
1,0.375549
2,0.327032
3,0.305776
4,0.293914
5,0.285954
6,0.280244
7,0.275968
8,0.272564
9,0.269732
10,0.267427
11,0.265546
12,0.263966
13,0.262601
14,0.26139
15,0.260271
16,0.259197
17,0.258102
18,0.256927
19,0.255651
20,0.254287
21,0.252863
22,0.251424
23,0.24996
24,0.248377
25,0.246702
26,0.24502
27,0.24335
28,0.241729
29,0.240117
30,0.238523
31,0.236972
32,0.235469
33,0.234004
34,0.232562
35,0.231145
36,0.22977
37,0.228453
38,0.22718
39,0.225934
40,0.224711
41,0.223509
42,0.22232
43,0.221131
44,0.219932
45,0.218714
46,0.217461
47,0.216156
48,0.214805
49,0.213456
50,0.212139
51,0.210855
52,0.209606
53,0.208381
54,0.207129
55,0.205764
56,0.204251
57,0.202783
58,0.201398
59,0.200029
60,0.198693
61,0.197404
62,0.196163
63,0.194975
64,0.19384
65,0.192749
66,0.19169
67,0.19065
68,0.189618
69,0.188592
70,0.187577
71,0.186581
72,0.18561
73,0.184665
74,0.183741
75,0.182832
76,0.181934
77,0.181042
78,0.180151
79,0.179257
80,0.178356
81,0.177447
82,0.176542
83,0.175664
84,0.174815
85,0.173984
86,0.173164
87,0.172354
88,0.171552
89,0.170756
90,0.169968
91,0.169188
92,0.168418
93,0.167657
94,0.166908
95,0.166171
96,0.165448
97,0.164738
98,0.164042
99,0.16336
100,0.162691
101,0.162036
102,0.161395
103,0.160768
104,0.160157
105,0.15956
106,0.158974
107,0.158396
108,0.157821
109,0.157245
110,0.156663
111,0.156072
112,0.155468
113,0.154853
114,0.154233
115,0.153616
116,0.153012
117,0.152425
118,0.151856
119,0.151305
120,0.150773
121,0.150259
122,0.149765
123,0.149289
124,0.148829
125,0.148383
126,0.147949
127,0.147524
128,0.147106
129,0.146695
130,0.146288
131,0.145887
132,0.145492
133,0.145106
134,0.144731
135,0.144369
136,0.144019
137,0.143682
138,0.143356
139,0.143039
140,0.142732
141,0.142432
142,0.142139
143,0.141853
144,0.141574
145,0.1413
146,0.141032
147,0.14077
148,0.140513
149,0.140262
150,0.140015
151,0.139773
152,0.139536
153,0.139304
154,0.139076
155,0.138852
156,0.138633
157,0.138418
158,0.138208
159,0.138002
160,0.1378
161,0.137602
162,0.137409
163,0.137219
164,0.137032
165,0.136848
166,0.136667
167,0.136488
168,0.136311
169,0.136135
170,0.135961
171,0.135788
172,0.135617
173,0.135446
174,0.135276
175,0.135108
176,0.13494
177,0.134773
178,0.134608
179,0.134444
180,0.134282
181,0.134121
182,0.133963
183,0.133808
184,0.133656
185,0.133508
186,0.133363
187,0.133222
188,0.133084
189,0.13295
190,0.13282
191,0.132693
192,0.132569
193,0.132447
194,0.132329
195,0.132212
196,0.132098
197,0.131986
198,0.131875
199,0.131766
200,0.131658
201,0.131551
202,0.131445
203,0.13134
204,0.131236
205,0.131131
206,0.131027
207,0.130922
208,0.130818
209,0.130712
210,0.130607
211,0.1305
212,0.130393
213,0.130285
214,0.130176
215,0.130067
216,0.129956
217,0.129844
218,0.129731
219,0.129617
220,0.129502
221,0.129385
222,0.129268
223,0.129149
224,0.129029
225,0.128907
226,0.128782
227,0.128656
228,0.128525
229,0.128391
230,0.128253
231,0.128109
232,0.127959
233,0.127802
234,0.127636
235,0.127462
236,0.12728
237,0.127091
238,0.126901
239,0.126713
240,0.126534
241,0.126366
242,0.126209
243,0.126062
244,0.125922
245,0.125788
246,0.125658
247,0.125532
248,0.125409
249,0.125288
250,0.125168
251,0.125051
252,0.124935
253,0.12482
254,0.124707
255,0.124594
256,0.124482
257,0.12437
258,0.124258
259,0.124146
260,0.124033
261,0.123918
262,0.123803
263,0.123685
264,0.123566
265,0.123445
266,0.123321
267,0.123195
268,0.123068
269,0.122938
270,0.122807
271,0.122674
272,0.122541
273,0.122407
274,0.122274
275,0.122142
276,0.12201
277,0.121881
278,0.121754
279,0.121628
280,0.121505
281,0.121384
282,0.121265
283,0.121148
284,0.121033
285,0.12092
286,0.120809
287,0.1207
288,0.120593
289,0.120487
290,0.120384
291,0.120281
292,0.12018
293,0.120081
294,0.119982
295,0.119885
296,0.119788
297,0.119693
298,0.119598
299,0.119505
300,0.119412
301,0.11932
302,0.119229
303,0.119139
304,0.11905
305,0.118961
306,0.118874
307,0.118787
308,0.118701
309,0.118617
310,0.118533
311,0.11845
312,0.118369
313,0.118288
314,0.118209
315,0.118131
316,0.118054
317,0.117978
318,0.117904
319,0.117831
320,0.117758
321,0.117687
322,0.117618
323,0.117549
324,0.117481
325,0.117415
326,0.117349
327,0.117285
328,0.117221
329,0.117159
330,0.117097
331,0.117036
332,0.116976
333,0.116917
334,0.116858
335,0.1168
336,0.116743
337,0.116687
338,0.116631
339,0.116576
340,0.116522
341,0.116468
342,0.116415
343,0.116362
344,0.11631
345,0.116259
346,0.116208
347,0.116158
348,0.116108
349,0.116059
350,0.116011
351,0.115963
352,0.115916
353,0.115869
354,0.115823
355,0.115777
356,0.115732
357,0.115687
358,0.115643
359,0.115599
360,0.115556
361,0.115513
362,0.11547
363,0.115428
364,0.115387
365,0.115345
366,0.115305
367,0.115264
368,0.115224
369,0.115184
370,0.115145
371,0.115105
372,0.115067
373,0.115028
374,0.11499
375,0.114951
376,0.114913
377,0.114876
378,0.114838
379,0.114801
380,0.114763
381,0.114726
382,0.114689
383,0.114652
384,0.114615
385,0.114578
386,0.114541
387,0.114504
388,0.114467
389,0.11443
390,0.114393
391,0.114356
392,0.114318
393,0.114281
394,0.114243
395,0.114205
396,0.114167
397,0.114129
398,0.114091
399,0.114053
400,0.114014
401,0.113976
402,0.113937
403,0.113899
404,0.11386
405,0.113821
406,0.113783
407,0.113743
408,0.113704
409,0.113665
410,0.113625
411,0.113584
412,0.113543
413,0.113502
414,0.113461
415,0.113419
416,0.113376
417,0.113334
418,0.113291
419,0.113249
420,0.113207
421,0.113165
422,0.113125
423,0.113085
424,0.113045
425,0.113007
426,0.11297
427,0.112933
428,0.112897
429,0.112862
430,0.112828
431,0.112794
432,0.112761
433,0.112729
434,0.112697
435,0.112666
436,0.112635
437,0.112605
438,0.112575
439,0.112546
440,0.112517
441,0.112488
442,0.11246
443,0.112432
444,0.112405
445,0.112378
446,0.112351
447,0.112324
448,0.112298
449,0.112272
450,0.112247
451,0.112221
452,0.112196
453,0.112171
454,0.112146
455,0.112122
456,0.112097
457,0.112073
458,0.112048
459,0.112024
460,0.112
461,0.111976
462,0.111952
463,0.111929
464,0.111905
465,0.111881
466,0.111857
467,0.111834
468,0.11181
469,0.111786
470,0.111762
471,0.111738
472,0.111714
473,0.11169
474,0.111665
475,0.111641
476,0.111616
477,0.111591
478,0.111566
479,0.111541
480,0.111515
481,0.111489
482,0.111463
483,0.111437
484,0.111411
485,0.111384
486,0.111357
487,0.11133
488,0.111303
489,0.111275
490,0.111247
491,0.111219
492,0.111191
493,0.111162
494,0.111133
495,0.111104
496,0.111075
497,0.111046
498,0.111016
499,0.110986
500,0.110956
